,price,Volume,day_of_week,week_of_year,month_of_year,quarter_of_year,semester_of_year,lag_1_week,Vol_1_month,SMA20,SMA50,RSI,return
2020-03-20,235.24989318847656,43228.0,4,12,3,1,1,240.68130493164062,2487.0,270.277449798584,302.31441314697264,19.02862981205068,0.0010250267018578896
2020-03-23,222.02040100097656,15473.0,0,13,3,1,1,231.97000122070312,10049.0,265.488134765625,300.4216534423828,20.22072656010795,-0.056235911558526586
2020-03-24,240.27439880371094,21954.0,1,13,3,1,1,237.69180297851562,4878.0,261.8789253234863,298.8678451538086,38.124198823575995,0.08221765982061302
2020-03-25,247.29550170898438,19309.0,2,13,3,1,1,229.10650634765625,7585.0,258.68007583618163,297.4533474731445,42.96490389328144,0.029221186028267843
2020-03-26,251.77090454101562,16560.0,3,13,3,1,1,235.00900268554688,10221.0,256.4124565124512,296.1049417114258,58.855879027245855,0.018097388755974553
2020-03-27,246.5,17770.0,4,13,3,1,1,235.24989318847656,15652.0,254.44480667114257,294.59550384521486,53.758230806742255,-0.02093532034857093
2020-03-30,250.47979736328125,79158.0,0,14,3,1,1,222.02040100097656,10559.0,252.5314064025879,293.1583657836914,62.73355455558135,0.016145222569092343
2020-03-31,254.97999572753906,26247.0,1,14,3,1,1,240.27439880371094,16498.0,250.65940551757814,291.8211279296875,62.09648368895034,0.01796631269918736
2020-04-01,244.3157958984375,18062.0,2,14,4,2,1,247.29550170898438,22288.0,248.14269104003907,290.2587036132812,60.34104117966111,-0.041823672475455265
2020-04-02,246.0334930419922,23203.0,3,14,4,2,1,251.77090454101562,5531.0,245.8008659362793,288.7525717163086,57.94802078605322,0.007030643013637761
2020-04-03,245.47129821777344,22790.0,4,14,4,2,1,246.5,39630.0,244.04686126708984,287.20573181152344,57.335060509568095,-0.00228503370523947
2020-04-06,255.49000549316406,15751.0,0,15,4,2,1,250.47979736328125,15872.0,243.67084579467775,285.9993319702148,75.17866990158863,0.04081416991774889
2020-04-07,263.34320068359375,33056.0,1,15,4,2,1,254.97999572753906,10763.0,243.82216567993163,284.87702606201174,70.57385189747565,0.030737778471102706
2020-04-08,263.5609130859375,9523.0,2,15,4,2,1,244.3157958984375,23389.0,243.99371109008788,283.7441683959961,66.50975248923274,0.0008267249800966159
2020-04-09,268.5215148925781,38835.0,3,15,4,2,1,246.0334930419922,27730.0,245.48828659057617,282.7814486694336,66.83640573209058,0.018821462365412156
2020-04-14,270.29998779296875,17281.0,1,16,4,2,1,245.47129821777344,9677.0,246.96922073364257,281.9214486694336,75.72817167465794,0.006623204479917044
2020-04-15,266.2799072265625,12716.0,2,16,4,2,1,255.49000549316406,11240.0,248.68471603393556,280.95009857177735,67.0653114742859,-0.014872662774536805
2020-04-16,268.73309326171875,5985.0,3,16,4,2,1,263.34320068359375,8701.0,250.2367805480957,279.91080657958986,65.54161124443866,0.009212809410621414
2020-04-17,272.8691101074219,9449.0,4,16,4,2,1,263.5609130859375,6441.0,252.42491073608397,278.8982369995117,87.85118035760664,0.015390798340102707
2020-04-20,275.0,11474.0,0,17,4,2,1,268.5215148925781,3430.0,254.42446060180663,277.8771951293945,87.98282643518876,0.007809201604898508
2020-04-21,264.3587951660156,11281.0,1,17,4,2,1,270.29998779296875,43228.0,255.8799057006836,276.6468667602539,69.58874756883615,-0.038695290305397756
2020-04-22,270.3078918457031,14390.0,2,17,4,2,1,266.2799072265625,15473.0,258.2942802429199,275.518434753418,66.78492624246013,0.022503872723249163
2020-04-23,273.6785888671875,9556.0,3,17,4,2,1,268.73309326171875,21954.0,259.96448974609376,274.40955230712893,63.03066074033945,0.012469843179452766
2020-04-24,271.1484069824219,5110.0,4,17,4,2,1,272.8691101074219,19309.0,261.1571350097656,273.2116702270508,59.03909511251106,-0.009245085248497431
2020-04-27,277.42529296875,13980.0,0,18,4,2,1,275.0,16560.0,262.43985443115236,272.117434387207,60.284654957385655,0.02314926374151649
2020-04-28,279.5198974609375,13221.0,1,18,4,2,1,264.3587951660156,17770.0,264.0908493041992,271.06583221435545,60.572601201866206,0.007550156908092243
2020-04-29,284.3898010253906,10512.0,2,18,4,2,1,270.3078918457031,79158.0,265.7863494873047,270.0897799682617,70.36986183815327,0.017422386057986072
2020-04-30,279.24578857421875,15182.0,3,18,4,2,1,273.6785888671875,26247.0,266.9996391296387,269.05515350341796,61.14967782195471,-0.018087893562373614
2020-05-04,270.598388671875,12789.0,0,19,5,2,1,271.1484069824219,18062.0,268.3137687683105,267.77812103271486,47.80202608135165,-0.030966984127122954
2020-05-05,279.00469970703125,31796.0,1,19,5,2,1,277.42529296875,23203.0,269.9623291015625,266.73718109130857,53.456481198571325,0.0310656359648529
