Close_CW8.PA,High_CW8.PA,Low_CW8.PA,Open_CW8.PA,Volume_CW8.PA,dat
323.4975891,324.3999939,319.5,319.683197,7704,2/5/2020
326.0520935,326.5751038,324.8601074,326.2399902,1263,2/6/2020
325.8752136,326.4986877,324.3999939,325.8500061,57520,2/7/2020
326.7294922,326.8999023,324.1000061,324.9148865,3248,2/10/2020
329.1227112,330.3499146,328.3175964,328.9599915,2239,2/11/2020
331.042511,331.1329041,329.3999939,329.6600037,3930,2/12/2020
332.137085,332.2427063,328.8548889,330.2257996,18518,2/13/2020
332.1000061,332.9382019,331.1422119,332.625885,18152,2/14/2020
333.1924133,333.2799988,332.5000916,333.021698,1299,2/17/2020
330.9771118,332.3920898,330.4130859,330.9458008,3900,2/18/2020
334.4500122,334.4739075,332.3676147,333.1700134,2479,2/19/2020
331.0516968,334,331.0516968,333.9400024,3590,2/20/2020
328.3931885,331.3559875,327.0011902,330.7550049,2487,2/21/2020
